model,rmse_test,r2_test
OLS_manual,36752.037118647975,0.20153188443165426
OLS_sklearn,36752.037118647975,0.20153188443165426
Ridge_manual,36739.43159720809,0.20207952105979787
Ridge_sklearn,36739.43159720809,0.20207952105979787
PCR,37225.10288403433,0.18084410852519373
PLS,36562.17220891977,0.20976051581876565
MLP,50665.45097544471,-0.5174646087303472
